Id,address,cluster,end-time,job-id,latitude,longitude,name,quantity,required-skills,service-duration,start-time,type
181.0_0_B1,109 AVE-65 ST,,9d 14:45:00,,53.5572473,-113.4252652,CAPILANO,1.0,neighbourhood,0.55,0d 06:00:00,D
270.0_0_B1,89 Ave & 71 St,,9d 14:45:00,,53.52290707,-113.4354382,KENILWORTH,1.0,neighbourhood,2.255,0d 06:00:00,D
309.0_0_B1,82 ST-103 AVE,,9d 14:45:00,,53.54472687,-113.4532601,FOREST HEIGHTS,1.0,neighbourhood,0.84,0d 06:00:00,D
511.0_0_B1,85 ST-STRATHEARN DRIVE,,9d 14:45:00,,53.53669821,-113.4618982,CLOVERDALE,1.0,neighbourhood,4.0115,0d 06:00:00,D
568.0_0_B1,50 ST BTWN 76 & 82 AVE,,9d 14:45:00,,53.51698107,-113.4182013,GAINER INDUSTRIAL,1.0,neighbourhood,0.1975,0d 06:00:00,D
590.0_0_B1,47 ST & 106B AVE,,9d 14:45:00,,53.55320893,-113.4135622,GOLD BAR,1.0,neighbourhood,0.765,0d 06:00:00,D
596.0_0_B1,50 St: 70 Ave - Whitemud Drive Whitemud Drive,,9d 14:45:00,,53.49914123,-113.4180896,PYLYPOW INDUSTRIAL,1.0,roadway,0.444,0d 06:00:00,D
597.0_0_B1,W/S 76 ST: 38 AVE - WHITEMUD DRIVE,,9d 14:45:00,,53.48042908,-113.4525123,TWEDDLE PLACE,1.0,roadway,1.197,0d 06:00:00,D
777.0_0_B1,Road Allowance,,9d 14:45:00,,53.44096431,-113.3942473,CRAWFORD PLAINS,1.0,roadway,0.985,0d 06:00:00,D
789.0_0_B1,NORTH SIDE 28 AVE & LAKEWOOD RD WEST -,,9d 14:45:00,,53.45895751,-113.4568045,TIPASKAN,1.0,roadway,0.1715,0d 06:00:00,D
883.0_0_B1,9812 96A Street NW,,9d 14:45:00,,53.53870576,-113.4795739,CLOVERDALE,1.0,neighbourhood,3.5,0d 06:00:00,D
