Id,job-id,type,name,address,latitude,longitude,service-duration,start-time,end-time,quantity,required-skills
64.0_0_B1,,D,OTTEWELL,74 ST-96B AVE,53.53620179,-113.44033600000002,0.0425,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
103.0_0_B1,,D,AVONMORE,89 ST-75 AVE,53.51147159,-113.4623148,0.024,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
106.0_0_B1,,D,RITCHIE,98 ST-77 AVE,53.51372262,-113.48130079999999,0.096,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
128.0_0_B1,,D,STRATHCONA INDUSTRIAL PARK,N/S 34 AVE: 103 ST - 91 ST,53.4660411,-113.47283290000001,0.07,0d 06:00:00,9d 14:45:00,1.0,roadway
132.0_0_B1,,D,KENILWORTH,NORTH OF 82 AVE-50-64 ST,53.51875284,-113.4242616,0.069,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
181.0_0_B1,,D,CAPILANO,109 AVE-65 ST,53.5572473,-113.4252652,0.55,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
207.0_0_B1,,D,ELLERSLIE,N/S & C ELLERSLIE RD: 91 ST - EDWARDS DRI,53.424986700000005,-113.4648967,0.1595,0d 06:00:00,9d 14:45:00,1.0,roadway
270.0_0_B1,,D,KENILWORTH,89 Ave & 71 St,53.52290707,-113.4354382,2.255,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
309.0_0_B1,,D,FOREST HEIGHTS,82 ST-103 AVE,53.54472687,-113.45326010000001,0.84,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
382.0_0_B1,,D,BONNIE DOON,93 ST-92 AVE,53.52806581,-113.47073219999999,0.11,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
385.0_0_B1,,D,BONNIE DOON,95 AVE-94-95 ST,53.53191903,-113.4726713,0.0125,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
386.0_0_B1,,D,BONNIE DOON,90 AVE-88 ST,53.52545463,-113.46194540000002,0.015,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
468.0_0_B1,,D,CRAWFORD PLAINS,42 ST-12-10 AVE,53.43896847,-113.40710359999999,0.025,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
511.0_0_B1,,D,CLOVERDALE,85 ST-STRATHEARN DRIVE,53.53669821,-113.46189820000001,4.0115,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
568.0_0_B1,,D,GAINER INDUSTRIAL,50 ST BTWN 76 & 82 AVE,53.51698107,-113.4182013,0.1975,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
590.0_0_B1,,D,GOLD BAR,47 ST & 106B AVE,53.55320893,-113.4135622,0.765,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
596.0_0_B1,,D,PYLYPOW INDUSTRIAL,50 St: 70 Ave - Whitemud Drive Whitemud Drive,53.49914123,-113.4180896,0.444,0d 06:00:00,9d 14:45:00,1.0,roadway
597.0_0_B1,,D,TWEDDLE PLACE,W/S 76 ST: 38 AVE - WHITEMUD DRIVE,53.48042908,-113.4525123,1.197,0d 06:00:00,9d 14:45:00,1.0,roadway
642.0_0_B1,,D,LARKSPUR,39-41 AVE & 23 ST-TRANSALTA R.O.W.,53.47865242,-113.37917479999999,0.0715,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
643.0_0_B1,,D,KING EDWARD PARK,77 AVE-73 ST,53.51372686,-113.44100120000002,0.0985,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
777.0_0_B1,,D,CRAWFORD PLAINS,Road Allowance,53.44096431,-113.3942473,0.985,0d 06:00:00,9d 14:45:00,1.0,roadway
787.0_0_B1,,D,SUMMERSIDE,1202 Summerside Drive,53.42230666,-113.46684909999999,0.03,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
789.0_0_B1,,D,TIPASKAN,NORTH SIDE 28 AVE & LAKEWOOD RD WEST -,53.45895751,-113.45680449999999,0.1715,0d 06:00:00,9d 14:45:00,1.0,roadway
883.0_0_B1,,D,CLOVERDALE,9812 96A Street NW,53.53870576,-113.4795739,3.5,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
947.0_0_B1,,D,ARGYLL,ARGYLL RD N/S BTWN 86 ST & 83 ST,53.50190593,-113.4560504,0.31,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
976.0_0_B1,,D,BISSET,SOUTH SIDE 23 AVE BTWN 38-34 ST,53.45366325,-113.3962258,0.635,0d 06:00:00,9d 14:45:00,1.0,roadway
979.0_0_B1,,D,MEYONOHK,WEST SIDE MILLWOODS RD-BTWN-28-23 AVE,53.45526058,-113.448311,0.34299999999999997,0d 06:00:00,9d 14:45:00,1.0,roadway
996.0_0_B1,,D,GREENVIEW,GREENOCH CRESCENT-W 50 ST-GOLF COURS,53.47794898,-113.42073059999998,0.3,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1017.0_0_B1,,D,OTTEWELL,97 AVE-66 ST,53.53593095,-113.4310656,0.019,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1075.0_0_B1,,D,OTTEWELL,SOUTH SIDE 98 AVE: 57 ST-TERRACE ROAD,53.53849365,-113.4265287,0.0325,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1135.0_0_B1,,D,WILD ROSE,36A AVE EAST OF 30 ST,53.46996222,-113.38484509999999,0.0735,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1167.0_0_B1,,D,TWEDDLE PLACE,ALONG MILLBOURNE RD W-BTWN-76-85 ST,53.48079517,-113.4552256,0.0595,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1313.0_0_B1,,D,LARKSPUR,37-38 AVE & 32-34 ST,53.47213596,-113.3919408,0.8,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1316.0_0_B1,,D,OTTEWELL,54 ST-94 AVE,53.53171493,-113.4217322,0.023,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1450.0_0_B1,,D,RICHFIELD,BTWN-85-91 ST,53.46912852,-113.4624634,1.0835,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1493.0_0_B1,,D,MENISA,EAST OF 80 ST & SOUTH OF 10 AVE,53.43871656,-113.4530145,1.12,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1508.0_0_B1,,D,STRATHCONA,85 AVE-104 ST,53.52136465,-113.49695619999999,0.0835,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1583.0_0_B1,,D,AVONMORE,72 AVE-85 ST,53.50808986,-113.4573469,0.0275,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1612.0_0_B1,,D,MICHAELS PARK,MILLBOURNE ROAD E-70 ST,53.4792581,-113.4489091,3.75,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1623.0_0_B1,,D,BISSET,NORTH SIDE 23 AVE-BTWN MILLWOODS RD E- 38 ST,53.45485526,-113.4033495,0.9,0d 06:00:00,9d 14:45:00,1.0,roadway
1658.0_0_B1,,D,CAPILANO,108 AVE-67 ST,53.55564341,-113.42972169999999,0.0375,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1778.0_0_B1,,D,SAKAW,11 AVE-58 ST,53.44264997,-113.4290041,2.215,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
1814.0_0_B1,,D,LARKSPUR,43A AVE - WHITEMUD DRIVE WEST OF 23 ST,53.48249405,-113.38069650000001,1.55,0d 06:00:00,9d 14:45:00,1.0,neighbourhood
