Unnamed: 0,Id,job-id,type,name,address,latitude,longitude,service-duration,start-time,end-time,quantity,required-skills,raw-id,day,Level,priority
0,11.0_0_B1,,D,KINISKI GARDENS,NORTH OF 3453-35 ST,53.46538095,-113.3947684,0.0047222222,0d 06:00:00,9d 14:45:00,1,neighbourhood,11.0_0,,B1,10
1,14.0_0_B1,,D,SUMMERSIDE,88 St: West Side Summerside Grande Blvd - Savaryn Drive,53.41533314,-113.4674006,0.0158333333,0d 06:00:00,9d 14:45:00,1,neighbourhood,14.0_0,,B1,10
2,64.0_0_B1,,D,OTTEWELL,74 ST-96B AVE,53.53620179,-113.440336,0.0670833333,0d 06:00:00,0d 14:45:00,1,neighbourhood,64.0_0,0.0,B1,10
3,69.0_0_B1,,D,KENILWORTH,82 AVE-W OF 50 ST,53.51814912,-113.4199973,0.0044444444,0d 06:00:00,9d 14:45:00,1,neighbourhood,69.0_0,,B1,10
4,72.0_0_B1,,D,JACKSON HEIGHTS,N/S SIDE BTWN 50 ST & JACKSON ROAD,53.48499448,-113.4147234,0.0031944444,0d 06:00:00,9d 14:45:00,1,neighbourhood,72.0_0,,B1,10
5,100.0_0_B1,,D,GREENVIEW,GRAND MEADOW CRESENT - E. OF 62 ST,53.47648078,-113.4318203,0.0011111111,0d 06:00:00,9d 14:45:00,1,neighbourhood,100.0_0,,B1,10
6,101.0_0_B1,,D,GREENVIEW,56 ST - 41 AVE,53.47706533,-113.4224579,0.0066666667,0d 06:00:00,9d 14:45:00,1,neighbourhood,101.0_0,,B1,10
7,103.0_0_B1,,D,AVONMORE,89 ST-75 AVE,53.51147159,-113.4623148,0.0379166667,7d 06:00:00,7d 14:45:00,1,neighbourhood,103.0_0,7.0,B1,1
8,106.0_0_B1,,D,RITCHIE,98 ST-77 AVE,53.51372262,-113.4813008,0.15125,7d 06:00:00,7d 14:45:00,1,neighbourhood,106.0_0,7.0,B1,1
9,107.0_0_B1,,D,RITCHIE,97 ST-74 AVE,53.51014172,-113.4792693,0.01625,0d 06:00:00,9d 14:45:00,1,neighbourhood,107.0_0,,B1,10
10,128.0_0_B1,,D,STRATHCONA INDUSTRIAL PARK,N/S 34 AVE: 103 ST - 91 ST,53.4660411,-113.4728329,0.0584722222,9d 06:00:00,9d 14:45:00,1,roadway,128.0_0,9.0,B1,10
11,132.0_0_B1,,D,KENILWORTH,NORTH OF 82 AVE-50-64 ST,53.51875284,-113.4242616,0.1097222222,0d 06:00:00,0d 14:45:00,1,neighbourhood,132.0_0,0.0,B1,10
12,147.0_0_B1,,D,KING EDWARD PARK,75 ST-BTWN-76-80 AVE,53.51487708,-113.4429069,0.0077777778,0d 06:00:00,9d 14:45:00,1,neighbourhood,147.0_0,,B1,10
13,164.0_0_B1,,D,CRAWFORD PLAINS,12A AVE - BTWN 45 & 46 ST,53.44181187,-113.4096613,0.0038888889,0d 06:00:00,9d 14:45:00,1,neighbourhood,164.0_0,,B1,10
14,165.0_0_B1,,D,CRAWFORD PLAINS,36 ST - 11 AVE,53.44014982,-113.3985109,0.0009722222,0d 06:00:00,9d 14:45:00,1,neighbourhood,165.0_0,,B1,10
15,166.0_0_B1,,D,HILLVIEW,HILLVIEW CRESENT (53 ST &34 A AVE),53.46604928,-113.42359,0.0018055556,0d 06:00:00,9d 14:45:00,1,neighbourhood,166.0_0,,B1,10
16,169.0_0_B1,,D,WILD ROSE,Between 1921 & 2103 - 37 Ave,53.471585,-113.3732625,0.0006944444,0d 06:00:00,9d 14:45:00,1,neighbourhood,169.0_0,,B1,10
17,170.0_0_B1,,D,WILD ROSE,Between 1921 & 2103 - 36 Ave,53.47072251,-113.3732235,0.0006944444,0d 06:00:00,9d 14:45:00,1,neighbourhood,170.0_0,,B1,10
18,181.0_0_B1,,D,CAPILANO,109 AVE-65 ST,53.5572473,-113.4252652,0.0347222222,4d 06:00:00,4d 14:45:00,1,neighbourhood,181.0_0,4.0,B1,1
19,182.0_0_B1,,D,CAPILANO,108 AVE-65 ST,53.55581701,-113.4269073,0.0080555556,0d 06:00:00,9d 14:45:00,1,neighbourhood,182.0_0,,B1,10
