index,SORT,Lead (NEIGHBOURHOOD route),service_site_ID,Neighborhood,Adddress,Service_level,"X""s",PINSITE_ID,PKSITE_NO,service_location_name,DESCRIPTION,SITE#,lat,long,service_area,580D,72GM,580D Rate,72GM Rate,Service-Duration for 580D,Service-Duration for 72GM,Old District,Weekend/School Route,2017 WIP Area,SLIM_AREA,NOTES,cluster_id
2,3,OTTEWELL,7,OTTEWELL,74 ST-96B AVE,B1,11.0,64.0,64.0,NEIGHBOURHOOD PARK,74 ST - 96B AVE,7,53.53620179,-113.44033600000002,0.568,0.085,0.483,2.0,0.3,0.042499999999999996,1.61,SE,,,,,0
7,8,AVONMORE,2,AVONMORE,89 ST-75 AVE,B1,11.0,103.0,103.0,PARK/ROAD ISLAND,89 ST - 75 AVE,2,53.51147159,-113.4623148,0.321,0.048,0.273,2.0,0.3,0.02388888888888889,0.91,SE,,,,,1
10,11,STRATHCONA INDUSTRIAL PARK,5,STRATHCONA INDUSTRIAL PARK,N/S 34 AVE: 103 ST - 91 ST,B1,11.0,128.0,128.0,ROADWAY-34 AVE,N/S 34 AVE: 103 ST - 91 ST,5,53.4660411,-113.47283290000001,0.561,0.14,0.42100000000000004,2.0,0.3,0.06999999999999999,1.4033333333333333,SE,Weekend - Roadway,,,,25
11,12,KENILWORTH,9,KENILWORTH,NORTH OF 82 AVE-50-64 ST,B1,11.0,132.0,132.0,ROADWAY (BACK ALLEY),NORTH OF 82 AVE - 50 - 64 ST,9,53.51875284,-113.4242616,0.9279999999999999,0.138,0.79,2.0,0.3,0.06888888888888889,2.6333333333333333,SE,,,,,22
45,46,BONNIE DOON,6,BONNIE DOON,95 AVE-94-95 ST,B1,11.0,385.0,385.0,ROAD ISLAND,95 AVE - 94 - 95 ST,6,53.53191903,-113.4726713,0.166,0.025,0.141,2.0,0.3,0.0125,0.47000000000000003,SE,,,,,22
46,47,BONNIE DOON,9,BONNIE DOON,90 AVE-88 ST,B1,11.0,386.0,386.0,ROAD ISLAND,90 AVE - 88 ST,9,53.52545463,-113.46194540000002,0.2,0.03,0.17,2.0,0.3,0.015,0.5666666666666667,SE,,,,,22
56,58,CRAWFORD PLAINS,7,CRAWFORD PLAINS,42 ST-12-10 AVE,B1,11.0,468.0,468.0,PIPELINE RIGHT OF WAY,42 ST - 12 - 10 AVE,7,53.43896847,-113.40710359999999,0.705,0.05,0.655,2.0,0.3,0.025,2.183333333333333,SE,,,,,28
84,90,LARKSPUR,26,LARKSPUR,39-41 AVE & 23 ST-TRANSALTA R.O.W.,B1,11.0,642.0,642.0,DRY POND,39 - 41 AVE & 23 ST - TRANSALTA R.O.W.,26,53.47865242,-113.37917479999999,0.951,0.14300000000000002,0.8079999999999999,2.0,0.3,0.07138888888888889,2.6933333333333334,SE,,,,,24
96,103,SUMMERSIDE,18,SUMMERSIDE,1202 Summerside Drive,B1,11.0,787.0,787.0,UTILITY LOT and WALKWAYs,1202 Summerside Drive,18,53.42230666,-113.46684909999999,0.4,0.06,0.34,2.0,0.3,0.03,1.1333333333333333,SE,,,,,8
124,135,OTTEWELL,10,OTTEWELL,97 AVE-66 ST,B1,11.0,1017.0,1017.0,NEIGHBOURHOOD PARK,97 AVE - 66 ST,10,53.53593095,-113.4310656,0.255,0.038,0.217,2.0,0.3,0.01888888888888889,0.7233333333333334,SE,,,a,,0
