Id,job-id,type,name,address,latitude,longitude,service-duration,start-time,end-time,quantity,required-skills,,Level
106.0_0_B1,,D,RITCHIE,98 ST-77 AVE,53.51372262,-113.4813008,0.00400462962963,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
181.0_0_B1,,D,CAPILANO,109 AVE-65 ST,53.5572473,-113.4252652,0.022916666666667,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
207.0_0_B1,,D,ELLERSLIE,N/S & C ELLERSLIE RD: 91 ST - EDWARDS DRI,53.4249867,-113.4648967,0.006643518518519,0d 06:00:00,9d 14:45:00,1,roadway,,B1
270.0_0_B1,,D,KENILWORTH,89 Ave & 71 St,53.52290707,-113.4354382,0.093958333333333,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
309.0_0_B1,,D,FOREST HEIGHTS,82 ST-103 AVE,53.54472687,-113.4532601,0.035,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
382.0_0_B1,,D,BONNIE DOON,93 ST-92 AVE,53.52806581,-113.4707322,0.004583333333333,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
511_0_0_B1,,D,CLOVERDALE,85 ST-STRATHEARN DRIVE,53.53669821,-113.4618982,0.055713734567901,8d 06:00:00,8d 14:45:00,1,neighbourhood,,B1
511_1_0_B1,,D,CLOVERDALE,85 ST-STRATHEARN DRIVE,53.53669821,-113.4618982,0.055713734567901,8d 06:00:00,8d 14:45:00,1,neighbourhood,,B1
511_2_0_B1,,D,CLOVERDALE,85 ST-STRATHEARN DRIVE,53.53669821,-113.4618982,0.055713734567901,8d 06:00:00,8d 14:45:00,1,neighbourhood,,B1
568.0_0_B1,,D,GAINER INDUSTRIAL,50 ST BTWN 76 & 82 AVE,53.51698107,-113.4182013,0.008229166666667,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
590.0_0_B1,,D,GOLD BAR,47 ST & 106B AVE,53.55320893,-113.4135622,0.031875,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
596.0_0_B1,,D,PYLYPOW INDUSTRIAL,50 St: 70 Ave - Whitemud Drive Whitemud Drive,53.49914123,-113.4180896,0.01849537037037,0d 06:00:00,9d 14:45:00,1,roadway,,B1
597.0_0_B1,,D,TWEDDLE PLACE,W/S 76 ST: 38 AVE - WHITEMUD DRIVE,53.48042908,-113.4525123,0.049872685185185,0d 06:00:00,9d 14:45:00,1,roadway,,B1
643.0_0_B1,,D,KING EDWARD PARK,77 AVE-73 ST,53.51372686,-113.4410012,0.004108796296296,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
777.0_0_B1,,D,CRAWFORD PLAINS,Road Allowance,53.44096431,-113.3942473,0.041041666666667,0d 06:00:00,9d 14:45:00,1,roadway,,B1
789.0_0_B1,,D,TIPASKAN,NORTH SIDE 28 AVE & LAKEWOOD RD WEST -,53.45895751,-113.4568045,0.007141203703704,0d 06:00:00,9d 14:45:00,1,roadway,,B1
883.0_0_B1,,D,CLOVERDALE,9812 96A Street NW,53.53870576,-113.4795739,0.145833333333333,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
947.0_0_B1,,D,ARGYLL,ARGYLL RD N/S BTWN 86 ST & 83 ST,53.50190593,-113.4560504,0.012916666666667,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
976.0_0_B1,,D,BISSET,SOUTH SIDE 23 AVE BTWN 38-34 ST,53.45366325,-113.3962258,0.026458333333333,0d 06:00:00,9d 14:45:00,1,roadway,,B1
979.0_0_B1,,D,MEYONOHK,WEST SIDE MILLWOODS RD-BTWN-28-23 AVE,53.45526058,-113.448311,0.014293981481482,0d 06:00:00,9d 14:45:00,1,roadway,,B1
996.0_0_B1,,D,GREENVIEW,GREENOCH CRESCENT-W 50 ST-GOLF COURS,53.47794898,-113.4207306,0.0125,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
1313.0_0_B1,,D,LARKSPUR,37-38 AVE & 32-34 ST,53.47213596,-113.3919408,0.033333333333333,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
1450.0_0_B1,,D,RICHFIELD,BTWN-85-91 ST,53.46912852,-113.4624634,0.045150462962963,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
1493.0_0_B1,,D,MENISA,EAST OF 80 ST & SOUTH OF 10 AVE,53.43871656,-113.4530145,0.046666666666667,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
1508.0_0_B1,,D,STRATHCONA,85 AVE-104 ST,53.52136465,-113.4969562,0.003483796296296,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
1612.0_0_B1,,D,MICHAELS PARK,MILLBOURNE ROAD E-70 ST,53.4792581,-113.4489091,0.15625,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
1623.0_0_B1,,D,BISSET,NORTH SIDE 23 AVE-BTWN MILLWOODS RD E- 38 ST,53.45485526,-113.4033495,0.0375,0d 06:00:00,9d 14:45:00,1,roadway,,B1
1778.0_0_B1,,D,SAKAW,11 AVE-58 ST,53.44264997,-113.4290041,0.092291666666667,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
1814.0_0_B1,,D,LARKSPUR,43A AVE - WHITEMUD DRIVE WEST OF 23 ST,53.48249405,-113.3806965,0.064583333333333,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
1825.0_0_B1,,D,MILL CREEK RAVINE SOUTH,76 AVE & 89 - 95 ST,53.51228056,-113.4682563,0.009525462962963,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
1837.0_0_B1,,D,SATOO,SOUTH SIDE&C 23 AVE-BTWN 91-85 ST,53.45169814,-113.4632398,0.007372685185185,0d 06:00:00,9d 14:45:00,1,roadway,,B1
1854.0_0_B1,,D,AVONMORE,80 ST-76 AVE,53.51080393,-113.4492502,0.06130787037037,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
1867_0_0_B1,,D,ARGYLL,88 ST-69 AVE,53.50596204,-113.4637143,0.097928240740741,8d 06:00:00,8d 14:45:00,1,neighbourhood,,B1
1867_1_0_B1,,D,ARGYLL,88 ST-69 AVE,53.50596204,-113.4637143,0.097928240740741,8d 06:00:00,8d 14:45:00,1,neighbourhood,,B1
1867_2_0_B1,,D,ARGYLL,88 ST-69 AVE,53.50596204,-113.4637143,0.097928240740741,8d 06:00:00,8d 14:45:00,1,neighbourhood,,B1
1868.0_0_B1,,D,MILL CREEK RAVINE SOUTH,70-75 AVE - 85ST TO RAVINE,53.50873972,-113.4609116,0.034189814814815,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
1870.0_0_B1,,D,CORONET ADDITION INDUSTRIAL,ISLAND NE CORNER 75 ST & ARGYLE RD.,53.50977333,-113.4432727,0.00994212962963,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
1889.0_0_B1,,D,TIPASKAN,WS/C 91 ST BTWN 28 & 34 AVE,53.46193542,-113.4670981,0.053541666666667,0d 06:00:00,9d 14:45:00,1,roadway,,B1
1905.0_0_B1,,D,MCINTYRE INDUSTRIAL,91 ST BTWN 51 AVE & WHITEMUD DRIVE,53.48513048,-113.4663823,0.038043981481482,0d 06:00:00,9d 14:45:00,1,roadway,,B1
1980.0_0_B1,,D,DALY GROVE,WEST SIDE 34 ST 18-23 AVE & WEST SIDE 34 ST 16A - 18 AVE,53.44893668,-113.3941282,0.019166666666667,0d 06:00:00,9d 14:45:00,1,roadway,,B1
2016.0_0_B1,,D,GOLD BAR,EAST OF 42 AVE BTWN 102 & 106B AVE,53.54874589,-113.4057399,0.016608796296296,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2085.0_0_B1,,D,ARGYLL,ARGYLL RD N/S BTWN 91 ST & 86 ST,53.50013044,-113.4623617,0.005833333333333,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2156.0_0_B1,,D,MENISA,KNOTTWOOD ROAD S-75 ST,53.44317506,-113.448125,0.017141203703704,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2165.0_0_B1,,D,MORRIS INDUSTRIAL,BTWN 75 & 34 ST INCLUDING 82 AVE - 71 ST,53.51663277,-113.4035534,0.019583333333333,0d 06:00:00,9d 14:45:00,1,roadway,,B1
2193.0_0_B1,,D,MILL CREEK RAVINE SOUTH,EAST 98 ST - RAVINE & 92 AVE,53.52148967,-113.4750752,0.017708333333333,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2194.0_0_B1,,D,HAZELDEAN,NORTH 63-66 AVE - 89-92 ST,53.50096985,-113.4677927,0.033229166666667,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2217.0_0_B1,,D,MILL CREEK RAVINE NORTH,95 ST-88 AVE,53.5254877,-113.4743503,0.075150462962963,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2233.0_0_B1,,D,LEE RIDGE,SOUTH SIDE/C 34 AVE BTWN MILLWOODS RD & 66 ST,53.46495912,-113.4432916,0.01875,0d 06:00:00,9d 14:45:00,1,roadway,,B1
2250.0_0_B1,,D,HILLVIEW,54-58 ST & 34 AVE-38 AVE,53.46914599,-113.4233464,0.007025462962963,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2255.0_0_B1,,D,MILL WOODS TOWN CENTRE,SOUTH SIDE/C 23 AVE-BTWN 66-50 ST,53.4537107,-113.4285839,0.022083333333333,0d 06:00:00,9d 14:45:00,1,roadway,,B1
2261.0_0_B1,,D,MILL CREEK RAVINE NORTH,98 AVE-CONNORS ROAD-99 ST,53.53647744,-113.4816691,0.10525462962963,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2270.0_0_B1,,D,WILD ROSE,W/S 17 St. South of 38 Ave,53.47390517,-113.3689558,0.116041666666667,0d 06:00:00,9d 14:45:00,1,roadway,,B1
2339.0_0_B1,,D,POLLARD MEADOWS,43 ST BTWN MILLWOODS RD & 17 AVE,53.44391005,-113.4070047,0.004791666666667,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2380.0_0_B1,,D,CAPILANO,109 AVE-46 ST,53.55622078,-113.4142713,0.004583333333333,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2386.0_0_B1,,D,FOREST HEIGHTS,WEST SIDE 75 ST-BTWN-98-101 AVE,53.5388941,-113.4436549,0.01125,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2391.0_0_B1,,D,CLOVERDALE,96A ST - CONNORS ROAD,53.53403064,-113.479064,0.097395833333333,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2409.0_0_B1,,D,HAZELDEAN,98 ST/70-72 AVE + P.U.L. S/W 99ST&73AVE,53.50761008,-113.4843723,0.0425,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2410.0_0_B1,,D,RITCHIE,98 ST-79 AVE,53.51560934,-113.4812774,0.004166666666667,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2448.0_0_B1,,D,EKOTA,KNOTTWOOD RD E-19 AVE,53.44899765,-113.441916,0.057037037037037,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
2469.0_0_B1,,D,STRATHCONA INDUSTRIAL PARK,WS/C 91 ST BTWN 34 & 39 AVE,53.46979343,-113.467082,0.10625,0d 06:00:00,9d 14:45:00,1,roadway,,B1
2492.0_0_B1,,D,BISSET,NORTH OF 28 AVE-BTWN MILLWOODS RD-37 S,53.45955007,-113.4022907,0.009143518518519,0d 06:00:00,9d 14:45:00,1,neighbourhood,,B1
