index,Unnamed: 0,Id,job-id,type,name,address,latitude,longitude,service-duration,start-time,end-time,quantity,required-skills,raw-id,day,Level,priority,cluster
0,0,11.0_0_B1,,D,KINISKI GARDENS,NORTH OF 3453-35 ST,53.46538095,-113.39476840000002,0.11333333279999999,0d 06:00:00,9d 14:45:00,1,neighbourhood,11,,B1,10,12
3,3,69.0_0_B1,,D,KENILWORTH,82 AVE-W OF 50 ST,53.51814912,-113.4199973,0.10666666559999999,0d 06:00:00,9d 14:45:00,1,neighbourhood,69,,B1,10,26
4,4,72.0_0_B1,,D,JACKSON HEIGHTS,N/S SIDE BTWN 50 ST & JACKSON ROAD,53.48499448,-113.41472340000001,0.0766666656,0d 06:00:00,9d 14:45:00,1,neighbourhood,72,,B1,10,11
5,5,100.0_0_B1,,D,GREENVIEW,GRAND MEADOW CRESENT - E. OF 62 ST,53.47648078,-113.4318203,0.026666666399999997,0d 06:00:00,9d 14:45:00,1,neighbourhood,100,,B1,10,1
6,6,101.0_0_B1,,D,GREENVIEW,56 ST - 41 AVE,53.47706533,-113.42245790000001,0.16000000080000001,0d 06:00:00,9d 14:45:00,1,neighbourhood,101,,B1,10,0
13,13,164.0_0_B1,,D,CRAWFORD PLAINS,12A AVE - BTWN 45 & 46 ST,53.44181187,-113.4096613,0.0933333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,164,,B1,10,9
14,14,165.0_0_B1,,D,CRAWFORD PLAINS,36 ST - 11 AVE,53.44014982,-113.39851090000002,0.0233333328,0d 06:00:00,9d 14:45:00,1,neighbourhood,165,,B1,10,9
15,15,166.0_0_B1,,D,HILLVIEW,HILLVIEW CRESENT (53 ST &34 A AVE),53.46604928,-113.42358999999999,0.0433333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,166,,B1,10,27
16,16,169.0_0_B1,,D,WILD ROSE,Between 1921 & 2103 - 37 Ave,53.471585,-113.3732625,0.0166666656,0d 06:00:00,9d 14:45:00,1,neighbourhood,169,,B1,10,13
17,17,170.0_0_B1,,D,WILD ROSE,Between 1921 & 2103 - 36 Ave,53.47072251,-113.37322350000001,0.0166666656,0d 06:00:00,9d 14:45:00,1,neighbourhood,170,,B1,10,22
22,22,218.0_0_B1,,D,GREENVIEW,257 GREENOCH CRESENT,53.47853544,-113.424299,0.040000000800000005,0d 06:00:00,9d 14:45:00,1,neighbourhood,218,,B1,10,0
23,23,231.0_0_B1,,D,DALY GROVE,36 ST-17-17B AVE,53.44562432,-113.397116,0.026666666399999997,0d 06:00:00,9d 14:45:00,1,neighbourhood,231,,B1,10,41
