,Id,Level,address,cluster,day,end-time,index,job-id,latitude,longitude,name,priority,quantity,raw-id,required-skills,service-duration,start-time,type
1,14.0_0_B1,B1,88 St: West Side Summerside Grande Blvd - Savaryn Drive,,,9d 14:45:00,,,53.41533314,-113.4674006,SUMMERSIDE,10,1,14.0_0,neighbourhood,0.37999999920000005,0d 06:00:00,D
2,64.0_0_B1,B1,74 ST-96B AVE,,0.0,0d 14:45:00,,,53.53620179,-113.44033600000002,OTTEWELL,10,1,64.0_0,neighbourhood,1.6099999992000003,0d 06:00:00,D
7,103.0_0_B1,B1,89 ST-75 AVE,,7.0,7d 14:45:00,,,53.51147159,-113.4623148,AVONMORE,1,1,103.0_0,neighbourhood,0.9100000008,7d 06:00:00,D
8,106.0_0_B1,B1,98 ST-77 AVE,,7.0,7d 14:45:00,,,53.51372262,-113.48130079999999,RITCHIE,1,1,106.0_0,neighbourhood,3.63,7d 06:00:00,D
9,107.0_0_B1,B1,97 ST-74 AVE,,,9d 14:45:00,,,53.51014172,-113.4792693,RITCHIE,10,1,107.0_0,neighbourhood,0.39,0d 06:00:00,D
10,128.0_0_B1,B1,N/S 34 AVE: 103 ST - 91 ST,,9.0,9d 14:45:00,,,53.4660411,-113.47283290000001,STRATHCONA INDUSTRIAL PARK,10,1,128.0_0,roadway,1.4033333328,9d 06:00:00,D
11,132.0_0_B1,B1,NORTH OF 82 AVE-50-64 ST,,0.0,0d 14:45:00,,,53.51875284,-113.4242616,KENILWORTH,10,1,132.0_0,neighbourhood,2.6333333328000004,0d 06:00:00,D
12,147.0_0_B1,B1,75 ST-BTWN-76-80 AVE,,,9d 14:45:00,,,53.51487708,-113.44290690000001,KING EDWARD PARK,10,1,147.0_0,neighbourhood,0.1866666672,0d 06:00:00,D
18,181.0_0_B1,B1,109 AVE-65 ST,,4.0,4d 14:45:00,,,53.5572473,-113.4252652,CAPILANO,1,1,181.0_0,neighbourhood,0.8333333328,4d 06:00:00,D
19,182.0_0_B1,B1,108 AVE-65 ST,,,9d 14:45:00,,,53.55581701,-113.42690729999998,CAPILANO,10,1,182.0_0,neighbourhood,0.1933333344,0d 06:00:00,D
20,207.0_0_B1,B1,N/S & C ELLERSLIE RD: 91 ST - EDWARDS DRI,,2.0,2d 14:45:00,,,53.424986700000005,-113.4648967,ELLERSLIE,1,1,207.0_0,roadway,1.2366666672,2d 06:00:00,D
21,217.0_0_B1,B1,55 ST - 39 AVE,,,9d 14:45:00,,,53.47495511,-113.422836,GREENVIEW,10,1,217.0_0,neighbourhood,0.3633333336,0d 06:00:00,D
24,232.0_0_B1,B1,51 ST -39 A AVE,,,9d 14:45:00,,,53.47406098,-113.41790490000001,GREENVIEW,10,1,232.0_0,neighbourhood,0.2366666664,0d 06:00:00,D
28,256.0_0_B1,B1,NORTH OF 28A AVE BTWN 34-37 ST,,,9d 14:45:00,,,53.45953514,-113.39599229999999,BISSET,10,1,256.0_0,neighbourhood,1.0533333336,0d 06:00:00,D
30,266.0_0_B1,B1,BTWN-WHITEMUD DRIVE-PIPELINE,,,9d 14:45:00,,,53.4813995,-113.44450990000001,MICHAELS PARK,10,1,266.0_0,neighbourhood,1.1933333328,0d 06:00:00,D
32,270.0_0_B1,B1,89 Ave & 71 St,,3.0,3d 14:45:00,,,53.52290707,-113.4354382,KENILWORTH,1,1,270.0_0,neighbourhood,2.6533333344,3d 06:00:00,D
35,279.0_0_B1,B1,84 AVE-73 ST,,,9d 14:45:00,,,53.52016614,-113.4404997,KENILWORTH,10,1,279.0_0,neighbourhood,0.43333333440000005,0d 06:00:00,D
38,307.0_0_B1,B1,40 - 43 AVE & GREENOCH CRESENT,,,9d 14:45:00,,,53.47807414,-113.42366979999998,GREENVIEW,10,1,307.0_0,neighbourhood,1.6233333336,0d 06:00:00,D
39,308.0_0_B1,B1,40 - 43 AVE & GRANLEA CRESENT (P.P.),,,9d 14:45:00,,,53.47925098,-113.42958459999998,GREENVIEW,10,1,308.0_0,neighbourhood,1.56,0d 06:00:00,D
40,309.0_0_B1,B1,82 ST-103 AVE,,0.0,0d 14:45:00,,,53.54472687,-113.45326010000001,FOREST HEIGHTS,10,1,309.0_0,neighbourhood,0.9666666671999999,0d 06:00:00,D
43,382_0_0_B1,B1,93 ST-92 AVE,,,3d 14:45:00,,,53.52806581,-113.47073219999999,BONNIE DOON,1,1,382_0,neighbourhood,1.385555556,3d 06:00:00,D
44,382_1_0_B1,B1,93 ST-92 AVE,,,3d 14:45:00,,,53.52806581,-113.47073219999999,BONNIE DOON,1,1,382_0,neighbourhood,1.385555556,3d 06:00:00,D
